0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,cluster,url
14156,16408,16408,16408,16408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22
7159,7024,2884,2764,12312,4536,4224,4120,2944,1408,4120,5728,1424,1424,2824,1424,1484,2764,4224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
555,3815,8216,232,16408,10240,2944,4104,1424,1484,1364,1484,2944,2944,1124,1484,2944,2944,1484,2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
565,8216,16408,16408,16408,16408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,63
561,4120,4120,4120,1329,4120,6148,8216,4120,13916,4120,16408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26
14146,16408,6040,2824,1424,1424,2824,1424,2824,1484,1364,1424,1484,1484,4120,2808,1484,1364,1424,1424,1484,1484,4104,1484,8216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64
562,4120,8216,1329,14024,8424,4120,4120,2944,2660,5580,320,12312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
562,8216,4025,7024,16408,8840,8424,9824,1484,4120,68,7024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
4108,16408,16408,4404,4120,4120,4972,1484,1484,4120,4120,4120,4120,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,66
14156,16408,16408,16408,16408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,44
561,12217,1424,16408,6040,2824,1424,2824,1424,2824,1484,2764,1484,2764,2824,2824,1424,1424,1424,1424,2824,4120,128,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,99
8546,4284,4120,4268,4224,1484,5564,1484,2944,2644,1424,1484,9676,2052,884,14024,1424,7024,5624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
14155,1424,2944,12312,5816,4404,11704,1484,16408,7000,2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
562,2417,2824,16408,16408,9256,1484,16408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
9955,2944,2704,1484,6756,232,8216,8216,16408,8276,2944,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,72
12850,1329,12312,10136,4284,4164,7024,1424,1424,2824,11284,4120,1468,4120,4120,1632,2824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,70
565,8216,12421,1424,2824,2824,1424,1484,1364,1424,2824,2824,1484,12564,2824,1424,16408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,71
454,3916,1484,1364,2944,4104,4120,4120,4120,4120,4120,4120,4120,16408,16408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,39
565,8216,5421,12312,1736,4120,2988,1364,1424,1424,1424,2824,1424,2944,2704,2944,1304,1484,1364,1484,1364,1484,1364,2944,1304,2824,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,98
452,3679,1484,4120,2660,1484,2944,4120,4120,3836,4120,4120,4120,876,4120,4120,4120,876,1484,1484,1484,2944,4120,4120,4120,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,86
14156,16408,16408,16408,2672,12312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,59
463,11870,1484,2944,4120,2944,4120,9352,4404,16408,16408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,101
456,4120,4120,4120,2826,1424,1424,1484,1364,16408,4404,1484,4120,1768,1484,4100,12624,4224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
560,9415,1424,1424,1424,1424,1424,16408,3240,1424,1424,8424,1424,1424,1424,1424,1424,1424,2824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13
15362,5817,16408,3240,5624,16408,7500,6964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100
14147,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,4120,4120,2944,1200,2944,216,1424,1424,2824,2824,1424,2824,10244,1004,1424,1424,1424,1424,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14
14156,16408,6040,13816,14472,8184,2824,4224,2824,1424,1424,1424,1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,52
4048,4120,4120,16408,16408,16408,16408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,92
560,4120,4120,4120,1327,4120,8216,3136,7024,1484,4120,4120,4120,4120,4120,4120,4120,3492,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
564,1484,1484,5580,5139,2824,4224,4224,2944,4120,4208,4120,8216,2944,216,2944,1304,2944,1484,1244,2944,5864,2944,2344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
12859,8216,4120,4120,12312,12312,16408,4120,4120,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,46
562,4120,4120,4120,4120,8216,4120,4120,4120,4120,4120,4120,4120,4120,4120,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
564,2944,5296,4023,11136,15512,16408,7440,13164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,73
